Minotaur Nest
Card No.,Monster Card,Stats,Value for each Rarity,,,,,,Unidentified XX Monster Card Pack
1,General Umzaka,Str,1,2,3,4,5,,Card Rarity,%each draw
1,General Umzaka,Crit Resist,10,21,32,43,54,,Magic,34%
1,General Umzaka,Crystal of Power,1,2,3,4,5,,Rare,40%
2,General Umhar,Agi,1,2,3,4,5,,Epic,20%
2,General Umhar,Stun Resist,10,21,32,43,54,,Unique,5%
2,General Umhar,Crystal of Power,1,2,3,4,5,,Legend,1%
3,General Crimson Ummanba,Int,1,2,3,4,5
3,General Crimson Ummanba,Vit,1,2,3,4,5,,Monster Card Box
3,General Crimson Ummanba,Para Resist,15,31,46,62,78,,Card Rarity,%each roll,%every 10th rolls
3,General Crimson Ummanba,Crystal of Power,2,4,6,8,10,,Magic,34%,-
,,,,,,,,,Rare,40%,-
Cerberus Nest,,,,,,,,,Epic,20%,-
Card No.,Monster Card,Status,Value for each Rarity,,,,,,Unique,5%,95%
4,Minotaur Knight,Magic Def,14,29,43,58,73,,Legend,1%,5%
4,Minotaur Knight,Paralyze,31,63,95,127,159,,Dragon Card,0.01%,0.1%
4,Minotaur Knight,Crystal of Power,4,8,12,16,20,,Dragon Card,0.001%,0.01%
5,Minotaur Commander,Defense,14,29,43,58,73
5,Minotaur Commander,Stun,31,63,95,127,159
5,Minotaur Commander,Crystal of Power,4,8,12,16,20,,Mastery LV,Card Stats Increase,Crystal of Power
6,Crow Hobgoblin,Attk Power,2,4,6,8,10,,1,5%,40
6,Crow Hobgoblin,Crit,24,48,72,96,120,,2,10%,50
6,Crow Hobgoblin,Crystal of Power,4,8,12,16,20,,3,15%,63
7,Brother Summoner,Magic Attk,2,4,6,8,10,,4,20%,78
7,Brother Summoner,Paralyze,7,15,23,31,39,,5,25%,96
7,Brother Summoner,Max MP,85,171,256,342,428,,6,30%,117
7,Brother Summoner,Crystal of Power,4,8,12,16,20,,7,35%,141
8,Ogre Slave,Str,2,4,6,8,10,,8,40%,168
8,Ogre Slave,Magic Def,14,28,43,57,72,,9,45%,198
8,Ogre Slave,Crystal of Power,4,8,12,16,20,,10,50%,232,1183
9,Ogre Commander,Agi,2,4,6,8,10,,11,55%,269
9,Ogre Commander,Magic Def,14,28,43,57,72,,12,60%,310
9,Ogre Commander,Crystal of Power,4,8,12,16,20,,13,65%,355
10,Cerberus Kakari,Attk Power,4,8,12,16,21,,14,70%,404
10,Cerberus Kakari,Magic Attk,4,8,12,16,21,,15,75%,458
10,Cerberus Kakari,Max HP,121,242,363,484,605,,16,80%,516
10,Cerberus Kakari,Crystal of Power,8,16,24,32,40,,17,85%,579
,,,,,,,,,18,90%,647
Manticore Nest,,,,,,,,,19,95%,721
Card No.,Monster Card,Status,Value for each Rarity,,,,,,20,100%,800,6242
11,Gargoyle Stinger,Int,1,2,3,4,6,,21,105%,845
11,Gargoyle Stinger,Max MP,138,276,414,552,691,,22,110%,892
11,Gargoyle Stinger,Crystal of Power,6,12,18,24,30,,23,115%,941
12,Lamia Attacker,Agi,1,3,5,7,9,,24,120%,992
12,Lamia Attacker,Attk Power,2,5,8,11,14,,25,125%,1045,10957
12,Lamia Attacker,Para Resist,40,81,122,163,204,,the lv cap of Card Mastery is increased to lv25 in Cap70
12,Lamia Attacker,Crystal of Power,6,12,18,24,30
13,Giant Stone Half Golem,Vit,1,2,3,4,5
13,Giant Stone Half Golem,Defense,14,29,44,59,74
13,Giant Stone Half Golem,Crit Resist,32,64,96,128,160
13,Giant Stone Half Golem,Crystal of Power,6,12,18,24,30
14,Manticore Lord Kram,Str,2,4,6,8,10
14,Manticore Lord Kram,Attk Power,5,11,16,22,28
14,Manticore Lord Kram,Paralyze,64,129,193,258,323
14,Manticore Lord Kram,Max HP,81,163,245,327,409
14,Manticore Lord Kram,Crystal of Power,12,24,36,48,60
Apocalypse Nest
Card No.,Monster Card,Status,Value for each Rarity
15,Fearful Death Ray,Magic Attk,2,5,8,11,14
15,Fearful Death Ray,Crit,16,33,49,66,83
15,Fearful Death Ray,Max MP,76,152,228,304,381
15,Fearful Death Ray,Crystal of Power,6,12,18,24,30
16,Midnight Death Howl,Str,1,3,4,6,8
16,Midnight Death Howl,Crit,13,27,40,54,68
16,Midnight Death Howl,Stun,40,80,120,160,200
16,Midnight Death Howl,Crystal of Power,6,12,18,24,30
17,Five Brothers' Specter,Attk Power,2,5,8,11,14
17,Five Brothers' Specter,Crit,14,28,43,57,72
17,Five Brothers' Specter,Paralyze,40,80,120,160,200
17,Five Brothers' Specter,Crystal of Power,6,12,18,24,30
18,Vengeful Ling,Agi,1,3,4,6,8
18,Vengeful Ling,Int,1,2,3,4,6
18,Vengeful Ling,Stun,43,86,129,172,216
18,Vengeful Ling,Crystal of Power,6,12,18,24,30
19,Obsessed Grunt,Str,1,3,4,6,8
19,Obsessed Grunt,Magic Def,12,24,37,49,62
19,Obsessed Grunt,Stun,40,80,120,160,200
19,Obsessed Grunt,Crystal of Power,6,12,18,24,30
20,Wild Hellglaze,Agi,1,3,4,6,8
20,Wild Hellglaze,Crit,14,28,42,56,70
20,Wild Hellglaze,Max MP,84,168,252,336,420
20,Wild Hellglaze,Crystal of Power,6,12,18,24,30
21,Enraged Umhama,Agi,1,3,4,6,8
21,Enraged Umhama,Crit,18,36,54,72,91
21,Enraged Umhama,Stun Resist,30,61,92,123,154
21,Enraged Umhama,Crystal of Power,6,12,18,24,30
22,Prideful Levant,Str,1,3,4,6,8
22,Prideful Levant,Max HP,67,134,201,268,336
22,Prideful Levant,Max MP,72,144,216,288,360
22,Prideful Levant,Crystal of Power,6,12,18,24,30
23,Fanatic Blan,Magic Def,8,17,25,34,43
23,Fanatic Blan,Crit Resist,72,144,216,288,361
23,Fanatic Blan,Crystal of Power,6,12,18,24,30
24,Judge Apocalypse,Agi,2,4,6,8,10
24,Judge Apocalypse,Int,1,3,4,6,8
24,Judge Apocalypse,Magic Attk,5,11,16,22,28
24,Judge Apocalypse,Stun,73,147,220,294,368
24,Judge Apocalypse,Crystal of Power,12,24,36,48,60
Sea Dragon Nest
Card No.,Monster Card,Status,Value for each Rarity
25,Cyclops Berserker,Vit,3,6,10,13,17
25,Cyclops Berserker,Attk Power,4,9,14,19,24
25,Cyclops Berserker,Paralyze,148,296,445,593,742
25,Cyclops Berserker,Crystal of Power,18,36,54,72,90
26,Ogre Berserker,Agi,4,9,14,19,24
26,Ogre Berserker,Magic Def,49,99,148,198,248
26,Ogre Berserker,Max MP,198,396,594,792,990
26,Ogre Berserker,Crystal of Power,18,36,54,72,90
27,Minotaur,Vit,2,5,8,11,14
27,Minotaur,Int,3,7,10,14,18
27,Minotaur,Stun,128,256,384,512,641
27,Minotaur,Crystal of Power,18,36,54,72,90
28,Rotting One-eyed Orc,Agi,3,6,9,12,16
28,Rotting One-eyed Orc,Str,4,9,14,19,24
28,Rotting One-eyed Orc,Magic Def,28,57,86,115,144
28,Rotting One-eyed Orc,MP Recovery,1,2,3,4,5
28,Rotting One-eyed Orc,Crystal of Power,18,36,54,72,90
29,Golem Lava,Vit,1,2,4,5,7
29,Golem Lava,Magic Attk,4,9,14,19,24
29,Golem Lava,Defense,39,78,118,157,197
29,Golem Lava,Stun Resist,111,223,335,447,559
29,Golem Lava,Crystal of Power,18,36,54,72,90
30,Revived Kakari,Str,4,9,14,19,24
30,Revived Kakari,Attk Power,4,9,14,19,24
30,Revived Kakari,Magic Attk,4,9,14,19,24
30,Revived Kakari,Crit,42,85,127,170,213
30,Revived Kakari,Stun,39,79,118,158,198
30,Revived Kakari,Crystal of Power,18,36,54,72,90
31,Kakari Returns with Vengeance,Attk Power,4,9,14,19,24
31,Kakari Returns with Vengeance,Magic Attk,4,9,14,19,24
31,Kakari Returns with Vengeance,Defense,44,89,134,179,224
31,Kakari Returns with Vengeance,Magic Def,44,89,134,179,224
31,Kakari Returns with Vengeance,Crystal of Power,18,36,54,72,90
32,Lizardman Brother Claw,Str,4,9,14,19,24
32,Lizardman Brother Claw,Attk Power,4,9,14,19,24
32,Lizardman Brother Claw,Para Resist,67,135,203,271,339
32,Lizardman Brother Claw,Crit Resist,67,135,203,271,339
32,Lizardman Brother Claw,Max HP,54,109,164,219,274
32,Lizardman Brother Claw,Crystal of Power,18,36,54,72,90
33,Lizardman Brother Tooth,Agi,4,9,14,19,24
33,Lizardman Brother Tooth,Magic Attk,4,9,14,19,24
33,Lizardman Brother Tooth,Para Resist,67,135,203,271,339
33,Lizardman Brother Tooth,Stun Resist,67,135,203,271,339
33,Lizardman Brother Tooth,Max HP,54,109,164,219,274
33,Lizardman Brother Tooth,Crystal of Power,18,36,54,72,90
34,Lizardman Brother Tail,Int,3,7,10,14,18
34,Lizardman Brother Tail,Magic Attk,4,9,14,19,24
34,Lizardman Brother Tail,Crit Resist,67,135,203,271,339
34,Lizardman Brother Tail,Stun Resist,67,135,203,271,339
34,Lizardman Brother Tail,Max HP,54,109,164,219,274
34,Lizardman Brother Tail,Crystal of Power,18,36,54,72,90
35,Scout Captain Norbak,Agi,3,6,9,12,16
35,Scout Captain Norbak,Attk Power,7,14,21,28,36
35,Scout Captain Norbak,Para Resist,78,156,234,312,390
35,Scout Captain Norbak,MP Recovery,1,2,3,4,5
35,Scout Captain Norbak,Crystal of Power,18,36,54,72,90
36,Golem Moltan,Vit,1,2,4,5,7
36,Golem Moltan,Magic Attk,7,14,21,28,36
36,Golem Moltan,Defense,28,56,85,113,142
36,Golem Moltan,Crit Resist,34,69,104,139,174
36,Golem Moltan,Max MP,175,351,527,703,879
36,Golem Moltan,Crystal of Power,18,36,54,72,90
